0.017,0.186,0.423,0.224,0.094,0.692,0.327,0.423,0.351,0.103
0.782,0.946,0.512,0.277,0.501,0.263,0.080,0.203,0.334,0.192
0.991,0.786,0.039,0.326,0.286,0.934,0.008,0.603,0.477,0.622
0.557,0.128,0.183,0.539,0.159,0.643,0.401,0.811,0.997,0.344
0.822,0.419,0.446,0.227,0.498,0.962,0.838,0.387,0.180,0.794
0.149,0.298,0.275,0.088,0.610,0.728,0.303,0.714,0.224,0.996
0.495,0.893,0.628,0.339,0.341,0.806,0.992,0.073,0.931,0.798
0.151,0.815,0.436,0.468,0.955,0.360,0.919,0.649,0.289,0.360
0.665,0.673,0.192,0.885,0.808,0.190,0.733,0.558,0.213,0.481
0.731,0.301,0.205,0.810,0.534,0.051,0.608,0.846,0.354,0.049
